"","FISH_NUM","TEST_TEMP","RMR","MMR","MASS","SL","aerobic_scope"
"1","CS03_18.18_AS_5.24.2020",18,383.8839,1000,1.47,4.8,616.1161
"2","CS07_18.11_AS_5.27.2020",11,181.5884652,711.1524535,2.03,5.3,529.5639883
"3","CS08_18.11_AS_5.27.2020",11,217.3233642,948.4725114,1.49,4.9,731.1491472
"4","CS09_18.22_AS_5.28.2020",22,413.0103463,1203.767172,1.81,5.2,790.7568257
"6","CS11_18.25_AS_5.30.2020",25,458.5659509,1150.965429,2.06,5.2,692.3994781
"7","CS12_18.25_AS_5.30.2020",25,416.014099,788.391,1.8,5.2,372.376901
"8","CS13_18.14_AS_5.31.2020",14,259.2937468,847.3675132,1.76,5,588.0737664
"9","CS14_18.14_AS_5.31.2020",14,202.3503557,762.509448,1.74,5.2,560.1590923
"10","CS15_18.25_AS_6.2.2020",25,518.4567,1211.707064,1.79,4.9,693.250364
"11","CS17_18.18_AS_6.3.2020",18,310.5614997,951.974706,1.37,4.8,641.4132063
"12","CS18_18.18_AS_6.3.2020",18,272.7789117,913.3924,1.39,4.7,640.6134883
"13","CS19_18.11_AS_6.5.2020",11,174.5355351,909.5307,1.17,4.5,734.9951649
"14","CS20_18.11_AS_6.5.2020",11,127.5204,547.5319623,1.62,4.9,420.0115623
"15","CS23_18.22_AS_6.8.2020",22,294.5875658,1029.664878,2.17,5.4,735.0773122
"16","CS25_18.14_AS_6.9.2020",14,207.0844114,724.794443,1.46,5,517.7100316
"17","CS26_18.14_AS_6.9.2020",14,202.0992768,855.9922387,2.05,5.4,653.8929619
"18","CS27_18.22_AS_6.10.2020",22,373.3995,941.3881,1.76,5,567.9886
"19","CS29_18.11_AS_6.11.2020",11,157.8296774,686.0595749,2.22,5.4,528.2298975
"20","CS30_18.11_AS_6.11.2020",11,131.5694331,664.8588064,1.81,5.2,533.2893733
"21","CS31_18.25_AS_6.12.2020",25,451.4759029,1160.903963,1.53,4.8,709.4280601
"22","CS32_18.25_AS_6.12.2020",25,356.9610878,822.1333594,1.7,4.9,465.1722716
"23","CS33_18.18_AS_6.14.2020",18,207.9532915,810.1336091,2.21,5.4,602.1803176
"24","CS34_18.18_AS_6.14.2020",18,210.0414265,584.721536,1.91,5.2,374.6801095
"25","CS35_18.14_AS_6.15.2020",14,223.2811525,833.9042249,1.9,5.4,610.6230724
"26","CS36_18.14_AS_6.15.2020",14,145.9606119,677.802318,2.57,5.6,531.8417061
"27","CS37_18.11_AS_6.16.2020",11,189.156,652.9305161,2.28,5.4,463.7745161
"28","CS38_18.11_AS_6.16.2020",11,159.5818479,436.671053,1.97,5.1,277.0892051
"29","CS39_18.14_AS_6.17.2020",14,215.1826,587.12758,2.2,5.6,371.94498
"30","CS44_18.25_AS_6.20.2020",25,369.6358333,913.9693868,1.7,5.1,544.3335535
"31","CS47_18.22_AS_6.22.2020",22,289.7958,1025.453718,2.12,5.3,735.657918
"32","CS48_18.22_AS_6.22.2020",22,278.8752,1036.610952,2.21,5.4,757.735752
"33","CS49_18.18_AS_6.23.2020",18,249.1909,835.4614228,1.73,5,586.2705228
"34","CS50_18.18_AS_6.23.2020",18,241.2048027,619.5460672,2.21,5.5,378.3412645
"35","CS51_18.25_AS_6.24.2020",25,379.9901037,576.0398105,1.92,5,196.0497068
"36","CS52_18.25_AS_6.24.2020",25,405.7915792,847.9128,1.8,5.1,442.1212208
"37","CS53_18.22_AS_6.25.2020",22,324.8800222,899.2555,1.62,4.9,574.3754778
"38","CS55_18.22_AS_6.27.2020",22,227.4663986,900.1533813,1.93,5.4,672.6869827
"39","CS56_18.22_AS_6.28.2020",22,274.5955297,910.4866725,1.78,0.1,635.8911428
"40","CS58_18.18_AS_6.29.2020",18,297.5358861,841.961063,1.76,5.1,544.4251769
"41","CS60_18.14_AS_6.30.2020",14,245.16,633.996991,2.27,5.5,388.836991
