"","FISH_NUM","TEST_TEMP","RMR","MMR","aerobic_scope","MASS","SL","Run"
"1","CS01_18.18_4.17.21",18,195.5339602,"692.3555","496.8215398",1.13,4.7,"FR"
"2","CS02_18.18_4.17.21",18,239.4086154,"35730.95524","35491.54662",1.85,5.4,"FR"
"4","CS04_18.14_4.18.21",14,184.1046111,"514.302497","330.1978859",1.84,5.4,"FR"
"5","CS05_18.25_4.19.21",25,96.68129135,"863.2032","766.5219087",2.29,5,"FR"
"6","CS06_18.25_4.19.21",25,167.1916913,"501.5584","334.3667087",1.68,4.9,"FR"
"7","CS07_18.14_4.20.21",14,78.60607458,"518.026","439.4199254",2.58,6,"FR"
"8","CS08_18.14_4.20.21",14,141.3609771,"537.45016","396.0891829",1.55,5,"FR"
"9","CS09_18.14_4.21.21",14,98.7314145,"658.69748","559.9660655",2.72,6,"FR"
"10","CS10_18.14_4.21.21",14,99.23054609,"425.3344041","326.103858",0.9,4.1,"FR"
"11","CS11_18.22_4.22.21",22,803.3778642,"1186.11633","382.7384654",3.85,6.8,"FR"
"12","CS12_18.22_4.22.21",22,279.1353211,"955.7976758","676.6623547",1.77,5.2,"FR"
"15","CS15_18.11_4.25.21",11,119.8412044,"554.2673241","434.4261197",2.24,5.7,"FR"
"16","CS16_18.11_4.25.21",11,112.3819021,"578.1619","465.7799979",2.44,5.6,"FR"
"18","CS18_18.22_4.26.21",22,226.4980378,"739.4006","512.9025622",3.16,6.1,"FR"
"19","CS19_18.18_4.26.21",18,278.7439837,"1001.43743","722.6934463",2.3,5.9,"FR"
"20","CS20_18.18_4.26.21",18,155.4182159,"486.1849","330.7666841",2.87,5.5,"FR"
"23","CS23_18.14_4.29.21",14,241.5351547,"1001.43743","759.9022753",2.26,5.5,"FR"
"26","CS26_18.22_5.1.21",22,374.1023849,"1089.78743","715.6850451",2.35,5.7,"FR"
"27","CS27_18.14_5.2.21",14,167.0663391,"483.14874","316.0824009",2.5,6,"FR"
"28","CS28_18.14_5.2.21",14,409.7657297,"678.4393919","268.6736622",3.7,6.6,"FR"
"29","CS29_18.14_5.3.21",14,186.8631944,"493.36868","306.5054856",3.28,6.4,"FR"
"30","CS30_18.14_5.3.21",14,133.7370602,"591.8820983","458.1450381",3.92,6.7,"FR"
"31","CS31_18.22_5.4.21",22,288.3615017,"802.16278","513.8012783",4.08,6.5,"FR"
"32","CS32_18.22_5.4.21",22,856.9091549,"1660.2775","803.3683451",3.48,6.5,"FR"
