"","FISH_ID","TEMP","Mean_Peak_Speed2SL","Total_Bursts","Mass","SL","Run"
"1","CS02",18,18.6503697249295,9,1.88,5.2,"FR"
"2","CS03",18,39.7076878848668,12,1.66,4.9,"FR"
"3","CS04",18,27.7494271130773,19,1.36,4.7,"FR"
"4","CS05",18,27.8132706014286,9,1.39,4.7,"FR"
"5","CS06",18,22.4265530387979,14,1.68,4.9,"FR"
"6","CS07",14,42.5086930277241,16,2.28,5.5,"FR"
"7","CS08",14,13.4347170823233,3,2.09,5.7,"FR"
"8","CS09",14,31.3647262878747,5,2.31,5.7,"FR"
"9","CS10",14,26.1103695766151,18,1.91,5.4,"FR"
"10","CS11",14,31.1598797851845,19,1.39,4.9,"FR"
"11","CS12",14,27.2168633029721,23,1.79,5.3,"FR"
"12","CS13",14,35.1707626308074,7,1.33,4.7,"FR"
"13","CS14",22,20.4410107180396,9,2.3,5.8,"FR"
"14","CS15",22,25.7849722906346,11,2.24,5.5,"FR"
"15","CS16",22,26.9358528052613,17,2.53,5.7,"FR"
"16","CS17",22,35.6287766503249,5,1.23,4.9,"FR"
"17","CS18",22,32.3372176799211,11,1.33,4.7,"FR"
"18","CS19",22,29.1589695563205,28,1.15,4.4,"FR"
"20","CS21",11,28.3812337606128,25,1.05,4.5,"FR"
"21","CS22",11,35.0340250451238,15,1.17,4.4,"FR"
"22","CS23",11,34.0221143743433,21,2.09,5.5,"FR"
"23","CS24",11,25.795654051388,8,1.06,4.3,"FR"
"24","CS25",11,24.9057069933233,25,2.22,5.6,"FR"
"25","CS26",11,32.6040885527045,0,2.03,5,"FR"
"26","CS27",25,37.0453242132685,7,1.79,5.3,"FR"
"27","CS28",25,27.4353841831718,21,2.54,5.6,"FR"
"28","CS29",25,16.5537699555698,27,2.7,6,"FR"
"29","CS30",25,14.670209378406,5,2.92,6.2,"FR"
"30","CS31",25,19.4065778983918,26,1.3,4.7,"FR"
"31","CS32",25,17.7970270422267,28,2.2,5.4,"FR"
"32","CS34",18,13.9879116467549,26,1.58,5.9,"FR"
"33","CS35",18,23.6535791413278,21,2.51,5.7,"FR"
"34","CS37",22,22.2302415760352,27,2.06,5.5,"FR"
"35","CS38",22,33.8568734531641,12,2.13,5.5,"FR"
"36","CS39",22,27.7284826974268,15,1.5,4.9,"FR"
"37","CS40",22,26.3678173406368,8,1.58,4.9,"FR"
"38","CS41",22,31.9206834856748,27,1.26,4.5,"FR"
"39","CS42",25,20.2104473461257,8,2.05,5.6,"FR"
"40","CS43",25,20.5428678294431,24,2.65,5.7,"FR"
"41","CS44",25,25.5982044395477,7,1.78,5.3,"FR"
"42","CS45",25,21.1984860889175,5,1.84,5.3,"FR"
"43","CS46",25,6.24111732976041,1,2.12,5.4,"FR"
"44","CS47",25,16.8256692409941,13,1.83,5.1,"FR"
"45","CS48",18,21.1795483503673,15,3.46,6.4,"FR"
"46","CS49",18,33.8358959048614,11,1.59,5,"FR"
"47","CS51",14,23.3494724887175,12,3.7,6.4,"FR"
"48","CS52",14,40.3958469837633,18,2.99,6.1,"FR"
"50","CS54",14,33.3700741220131,20,3.79,6.5,"FR"
"51","CS55",14,40.5395653996431,18,3.29,5.3,"FR"
"52","CS56",14,27.3007180754725,28,3.63,6.4,"FR"
"53","CS57",11,16.9643802301184,27,4.62,7.1,"FR"
"54","CS58",11,19.5600628895142,12,3.36,6.2,"FR"
"55","CS59",11,15.0477900107459,22,2.27,5.4,"FR"
"56","CS60",11,21.0450465011348,5,3.42,6.3,"FR"
