"","FISH_NUM","TEST_TEMP","RMR","MMR","PIT","MASS","SL","aerobic_scope"
"1","LMB01_18.14_AS_6.9.20",14,33.92727377,176.5912579,"A2BD",249.5,23.6,142.66398413
"2","LMB02_18.14_AS_6.9.20",14,29.68143772,243.7857264,"A2A5",240.1,23.3,214.10428868
"3","LMB03_18.22_AS_6.10.20",22,86.26254987,289.4298,"A284",183.4,21.5,203.16725013
"4","LMB04_18.22_AS_6.10.20",22,79.80804187,310.6959,"FF68",288.2,23.9,230.88785813
"5","LMB05_18.11_AS_6.11.20",11,17.28610394,117.1664508,"FEFC",298.7,24.2,99.88034686
"6","LMB06_18.11_AS_6.11.20",11,20.68111608,138.5037375,"A2A6",231.7,22.5,117.82262142
"7","LMB07_18.25_AS_6.12.20",25,97.35088192,270.3265,"A290",198.8,22.1,172.97561808
"8","LMB08_18.25_AS_6.12.20",25,82.98442553,359.2084,"AC21",146.3,20,276.22397447
"9","LMB09_18.18_AS_6.14.20",18,39.16819288,189.727183,"FF89",242.4,23,150.55899012
"10","LMB10_18.18_AS_6.14.20",18,38.22035409,268.8547607,"F0FB",240.3,23.4,230.63440661
"11","LMB11_18.14_AS_6.15.20",14,13.22816891,187.2150043,"A2A8",190.4,21.1,173.98683539
"12","LMB12_18.14_AS_6.15.20",14,21.23650079,188.3817271,"693C",163.6,21,167.14522631
"13","LMB13_18.11_AS_6.16.20",11,9.940655791,123.25361,"FF32",224.5,22.4,113.312954209
"14","LMB14_18.11_AS_6.16.20",11,17.70284378,150.4683072,"FF88",239.4,23.5,132.76546342
"15","LMB15_18.18_AS_6.17.20",18,37.60510583,260.1256,"A275",227.9,22.6,222.52049417
"16","LMB16_18.22_AS_6.18.20",22,67.35825593,297.9992,"FF43",216.2,22.1,230.64094407
"17","LMB17_18.22_AS_6.18.20",22,69.23690986,242.68756,"FF3C",270.1,23.8,173.45065014
"18","LMB18_18.25_AS_6.20.20",25,108.0051118,339.1895166,"A267",255.2,23.6,231.1844048
"19","LMB19_18.25_AS_6.20.20",25,102.0085586,358.2241,"6946",148.8,19.5,256.2155414
"20","LMB20_18.11_AS_6.21.20",11,8.483766831,92.230361,"FF9B",169.9,21.7,83.746594169
"21","LMB21_18.11_AS_6.21.20",11,18.81907351,132.07591,"FF06",213.6,22.6,113.25683649
"22","LMB22_18.18_AS_6.22.20",18,29.0267383,257.5696551,"FF08",186.3,21.7,228.5429168
"23","LMB23_18.18_AS_6.22.20",18,37.85101715,227.275694,"FF6F",208.6,21.9,189.42467685
"24","LMB24_18.14_AS_6.23.20",14,23.50281964,175.43045,"FF91",241.1,24.3,151.92763036
"25","LMB25_18.14_AS_6.23.20",14,33.35183231,156.8828757,"FF79",282.7,24.4,123.53104339
"26","LMB26_18.22_AS_6.24.20",22,78.93428693,338.2057598,"A282",272.4,24.2,259.27147287
"27","LMB27_18.22_AS_6.24.20",22,72.01646731,303.3338168,"FF3B",292.2,23.7,231.31734949
"28","LMB28_18.25_AS_6.25.20",25,94.74275105,332.6700334,"FF07",213.8,22.8,237.92728235
"29","LMB29_18.25_AS_6.25.20",25,83.57261803,310.8669063,"A27F",225.2,23,227.29428827
"30","LMB30_18.22_AS_6.27.20",22,79.23320761,212.5879739,"A28D",232.2,23.6,133.35476629
"31","LMB31_18.22_AS_6.27.20",22,73.53951166,282.8792053,"FF0F",176.8,22,209.33969364
"32","LMB32_18.14_AS_6.28.20",14,18.0334601,194.69347,"FF1C",270.8,23.8,176.6600099
"33","LMB33_18.14_AS_6.28.20",14,43.05033219,116.3230269,"A2C8",247.7,23.8,73.27269471
"34","LMB34_18.25_AS_6.29.20",25,82.29306434,300.727652,"FEF9",263.6,23.8,218.43458766
"35","LMB35_18.25_AS_6.29.20",25,93.89126052,314.9746,"A2B6",216.1,21.8,221.08333948
"36","LMB36_18.11_AS_6.30.20",11,7.765451179,133.0568346,"FF9A",198.5,21.3,125.291383421
"37","LMB37_18.11_AS_6.30.20",11,22.25128324,149.0303826,"F130",250.8,24.2,126.77909936
"38","LMB38_18.18_AS_7.1.20",18,35.47332009,263.1181286,"A27A",226.4,22.5,227.64480851
"39","LMB39_18.18_AS_7.1.20",18,43.5876587,239.91409,"A29B",210.8,22.4,196.3264313
