"","FISH_ID","BURST_NUMBER","PEAK_SPEED_2","AVE_SPEED_FIRST_QUARTER","BURST_COUNT","Temp","ACC","PIT","FLOY","TRIAL_TEMP","MASS","SL","FL","TL","TANK_ID","RAMP_END","TEMP","FAST_DATE","BURST_DATE","FAST_TIME","ACC_TIME","BURST_START","BURST_END","OBSERVER","TOTAL_EVENTS","FAILED_EVENTS","FAILURES","MISTAKES","MISTAKE_EVENT","BURST_EVENTS","SUCCESSFUL_EVENTS","LENGTHS_SWAM","USABLE","COMMENTS"
"1","LMB01",1,11.2631955375219,8.80267745868936,1,14,1,"A2BD","Y",14,243.1,23.8,25.1,25.6,"5-4","12:08",14.1,"6/17/2020","6/18/2020","8:30","13:37","13:42","13:44","KZ,AGM",10,"3,4,6,7,8,9",6,1,"2",9,3,9,NA,"Fish was very lethargic, we don?t knowif this is a single fishor an effect of the temperature, upon recovery appears still lethargic"
"2","LMB01",2,NA,NA,1,14,1,"A2BD","Y",14,243.1,23.8,25.1,25.6,"5-4","12:08",14.1,"6/17/2020","6/18/2020","8:30","13:37","13:42","13:44","KZ,AGM",10,"3,4,6,7,8,9",6,1,"2",9,3,9,NA,"Fish was very lethargic, we don?t knowif this is a single fishor an effect of the temperature, upon recovery appears still lethargic"
"3","LMB01",3,25.60826748689,16.2205683404328,2,14,1,"A2BD","Y",14,243.1,23.8,25.1,25.6,"5-4","12:08",14.1,"6/17/2020","6/18/2020","8:30","13:37","13:42","13:44","KZ,AGM",10,"3,4,6,7,8,9",6,1,"2",9,3,9,NA,"Fish was very lethargic, we don?t knowif this is a single fishor an effect of the temperature, upon recovery appears still lethargic"
"4","LMB01",4,22.0198839552116,18.668198811226,3,14,1,"A2BD","Y",14,243.1,23.8,25.1,25.6,"5-4","12:08",14.1,"6/17/2020","6/18/2020","8:30","13:37","13:42","13:44","KZ,AGM",10,"3,4,6,7,8,9",6,1,"2",9,3,9,NA,"Fish was very lethargic, we don?t knowif this is a single fishor an effect of the temperature, upon recovery appears still lethargic"
"5","LMB01",5,46.5140617823025,32.1354258676451,4,14,1,"A2BD","Y",14,243.1,23.8,25.1,25.6,"5-4","12:08",14.1,"6/17/2020","6/18/2020","8:30","13:37","13:42","13:44","KZ,AGM",10,"3,4,6,7,8,9",6,1,"2",9,3,9,NA,"Fish was very lethargic, we don?t knowif this is a single fishor an effect of the temperature, upon recovery appears still lethargic"
"6","LMB01",6,16.2216526619732,13.8139008582082,5,14,1,"A2BD","Y",14,243.1,23.8,25.1,25.6,"5-4","12:08",14.1,"6/17/2020","6/18/2020","8:30","13:37","13:42","13:44","KZ,AGM",10,"3,4,6,7,8,9",6,1,"2",9,3,9,NA,"Fish was very lethargic, we don?t knowif this is a single fishor an effect of the temperature, upon recovery appears still lethargic"
"7","LMB01",7,12.2762047867378,8.18156835883957,6,14,1,"A2BD","Y",14,243.1,23.8,25.1,25.6,"5-4","12:08",14.1,"6/17/2020","6/18/2020","8:30","13:37","13:42","13:44","KZ,AGM",10,"3,4,6,7,8,9",6,1,"2",9,3,9,NA,"Fish was very lethargic, we don?t knowif this is a single fishor an effect of the temperature, upon recovery appears still lethargic"
"8","LMB01",8,27.3048725545074,17.3260914336872,7,14,1,"A2BD","Y",14,243.1,23.8,25.1,25.6,"5-4","12:08",14.1,"6/17/2020","6/18/2020","8:30","13:37","13:42","13:44","KZ,AGM",10,"3,4,6,7,8,9",6,1,"2",9,3,9,NA,"Fish was very lethargic, we don?t knowif this is a single fishor an effect of the temperature, upon recovery appears still lethargic"
"9","LMB01",9,13.3886532651206,10.1095216054297,8,14,1,"A2BD","Y",14,243.1,23.8,25.1,25.6,"5-4","12:08",14.1,"6/17/2020","6/18/2020","8:30","13:37","13:42","13:44","KZ,AGM",10,"3,4,6,7,8,9",6,1,"2",9,3,9,NA,"Fish was very lethargic, we don?t knowif this is a single fishor an effect of the temperature, upon recovery appears still lethargic"
"10","LMB01",10,47.6415278204867,39.5137102922162,9,14,1,"A2BD","Y",14,243.1,23.8,25.1,25.6,"5-4","12:08",14.1,"6/17/2020","6/18/2020","8:30","13:37","13:42","13:44","KZ,AGM",10,"3,4,6,7,8,9",6,1,"2",9,3,9,NA,"Fish was very lethargic, we don?t knowif this is a single fishor an effect of the temperature, upon recovery appears still lethargic"
"11","LMB02",1,22.3331933786548,11.0049495991654,1,14,2,"A2A5",NA,14,243.8,23.2,25.3,25.7,"5-4","12:08",14.3,"6/17/2020","6/18/2020","8:30","14:03","14:08","14:17","KZ,AGM",10,"2,3,4,6,7,8,9,10",8,0,NA,10,2,10,NA,""
"12","LMB02",2,74.0287096795903,50.4039566068421,2,14,2,"A2A5",NA,14,243.8,23.2,25.3,25.7,"5-4","12:08",14.3,"6/17/2020","6/18/2020","8:30","14:03","14:08","14:17","KZ,AGM",10,"2,3,4,6,7,8,9,10",8,0,NA,10,2,10,NA,""
"13","LMB02",3,51.1657257858202,30.0805353602261,3,14,2,"A2A5",NA,14,243.8,23.2,25.3,25.7,"5-4","12:08",14.3,"6/17/2020","6/18/2020","8:30","14:03","14:08","14:17","KZ,AGM",10,"2,3,4,6,7,8,9,10",8,0,NA,10,2,10,NA,""
"14","LMB02",4,45.0536138004225,30.469138131485,4,14,2,"A2A5",NA,14,243.8,23.2,25.3,25.7,"5-4","12:08",14.3,"6/17/2020","6/18/2020","8:30","14:03","14:08","14:17","KZ,AGM",10,"2,3,4,6,7,8,9,10",8,0,NA,10,2,10,NA,""
"15","LMB02",5,73.433202488718,55.1907331486962,5,14,2,"A2A5",NA,14,243.8,23.2,25.3,25.7,"5-4","12:08",14.3,"6/17/2020","6/18/2020","8:30","14:03","14:08","14:17","KZ,AGM",10,"2,3,4,6,7,8,9,10",8,0,NA,10,2,10,NA,""
"16","LMB02",6,67.9930987004821,43.7580425712962,6,14,2,"A2A5",NA,14,243.8,23.2,25.3,25.7,"5-4","12:08",14.3,"6/17/2020","6/18/2020","8:30","14:03","14:08","14:17","KZ,AGM",10,"2,3,4,6,7,8,9,10",8,0,NA,10,2,10,NA,""
"17","LMB02",7,33.4215662682816,23.1612105697135,7,14,2,"A2A5",NA,14,243.8,23.2,25.3,25.7,"5-4","12:08",14.3,"6/17/2020","6/18/2020","8:30","14:03","14:08","14:17","KZ,AGM",10,"2,3,4,6,7,8,9,10",8,0,NA,10,2,10,NA,""
"18","LMB02",8,22.6161452137452,17.7559591566659,8,14,2,"A2A5",NA,14,243.8,23.2,25.3,25.7,"5-4","12:08",14.3,"6/17/2020","6/18/2020","8:30","14:03","14:08","14:17","KZ,AGM",10,"2,3,4,6,7,8,9,10",8,0,NA,10,2,10,NA,""
"19","LMB02",9,46.4816010329245,36.2459437481256,9,14,2,"A2A5",NA,14,243.8,23.2,25.3,25.7,"5-4","12:08",14.3,"6/17/2020","6/18/2020","8:30","14:03","14:08","14:17","KZ,AGM",10,"2,3,4,6,7,8,9,10",8,0,NA,10,2,10,NA,""
