TEMPORARY,BURST_NUMBER,ORIENTATION,START_TIME,Gate0,Gate1,Gate2,Gate3,Gate4,Gate5,Gate6,Gate7,Gate8,Gate9,Gate10,Gate11,Gate12,Gate13,Gate14,Gate15,Gate16,Gate17,Gate18,Gate19,Gate20,Gate21,Gate22,Gate23,Gate24,FISH_ID,NUM_NA,NA_GATES,NUM_NEGATIVE,NEGATIVE_GATES,STATUS,PEAK_SPEED,PEAK_SPEED_START,PEAK_SPEED_DIST,PEAK_SPEED_FL,PEAK_SPEED_SL,PEAK_SPEED_2,PEAK_SPEED_2_START,PEAK_SPEED_2_DIST,PEAK_SPEED_2_FL,PEAK_SPEED_2_SL,PEAK_SPEED_3,PEAK_SPEED_3_START,PEAK_SPEED_3_DIST,PEAK_SPEED_3_FL,PEAK_SPEED_3_SL,AVE_SPEED,AVE_SPEED_FIRST_HALF,AVE_SPEED_FIRST_QUARTER,AVE_SPEED_SECOND_QUARTER,WEIGHTED_AVE_SPEED,WEIGHTED_AVE_SPEED_FIRST_HALF,WEIGHTED_AVE_SPEED_1Q,WEIGHTED_AVE_SPEED_2Q,TAGS,MISSED_GATES_FIRST_HALF,MISSED_GATES_SECOND_HALF,MISSED_GATES_FIRST_Q,MISSED_GATES_SECOND_Q,MISSED_GATES_LONGEST_GAP,MISSED_GATES_LONGEST_GAP_START,MISSED_GATES_LONGEST_GAP_EVENTS,MISSED_SEGMENTS_NUM,MISSED_SEGMENTS_FIRST_HALF,MISSED_SEGMENTS_FIRST_Q,MISSED_SEGMENTS_SECOND_Q,BURST_COUNT,TRIAL_TEMP,MASS,SL,FL,TL,TANK_ID,TOTAL_BURST_EVENTS,OBSERVER,COMMENTS,FAST_DATE_TIME,BURST_DATE_TIME,TRIAL_DURATION,FAST_DURATION
2,1,L,241.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,CS02,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",0,NA,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,1.88,5.2,5.8,6,O2,9,AGM/AM,First burst trial not recorded due to blocked sensor,NA,NA,NA,NA
2,2,R,321.5,NA,NA,NA,NA,0,0.008284,0.084968,0.232901,NA,NA,NA,NA,NA,NA,0.677241,NA,NA,NA,NA,NA,4.812837,4.786492,4.793657,4.77769,4.772123,CS02,15,"0,1,2,3,8,9,10,11,12,13,15,16,17,18,19",0,NA,R2B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,1.88,5.2,5.8,6,O2,9,AGM/AM,First burst trial not recorded due to blocked sensor,NA,NA,NA,NA
2,3,R,395.8,0,NA,NA,NA,NA,NA,-4.921093,-0.746123,-0.44814,-0.308073,-0.072604,0.177299,0.385092,0.740737,1.076388,1.170899,1.30442,1.453861,1.716489,2.006251,2.362165,4.14832,4.188762,4.251861,4.273916,CS02,5,"1,2,3,4,5",5,6 7 8 9 10,NA,58.717147755830496,95,5,10.123646164798362,11.291759183813557,54.14185165132653,93.2,6.799999999999997,9.334802008849403,10.411894548332025,52.90389478473404,60,5,9.121361169781732,10.173825920141162,21.013464533366562,18.95123252662024,1.7166364628230544,20.21934817880566,14.576804253514887,8.275652682761121,0.14949716390474196,19.240979755677976,NA,5,0,5,0,5,1,1,18,18,18,0,1,18,1.88,5.2,5.8,6,O2,9,AGM/AM,First burst trial not recorded due to blocked sensor,NA,NA,NA,NA
2,4,L,446.5,0,0.082194,1.62262,1.682424,1.789978,1.879139,1.976659,2.085218,2.268349,2.33301,2.441744,2.530466,2.621667,2.747165,2.858793,2.929992,3.019857,3.184923,3.246857,3.370031,3.47943,3.562244,3.603408,3.706032,3.757167,CS02,0,NA,0,NA,NA,80.73110084929127,75,5,13.919155318843321,15.525211701786782,77.32636365042342,30,5,13.332131663866107,14.87045454815835,70.2257054172109,60,5,12.107880244346708,13.504943349463636,42.22040958960118,38.5536121389136,30.643377493682074,49.54890159703498,42.3971148472522,38.78576827957112,31.38272331962257,48.84939315431452,NA,0,0,0,0,0,NA,0,0,0,0,0,2,18,1.88,5.2,5.8,6,O2,9,AGM/AM,First burst trial not recorded due to blocked sensor,NA,NA,NA,NA
2,5,R,496.8,0,NA,0.076678,0.122127,0.218565,0.334053,0.453957,0.592741,0.689998,0.812326,0.897174,0.987816,1.103096,1.171977,1.325548,1.408416,1.517547,1.601424,1.74088,1.889303,2.030148,2.152807,2.175668,2.235138,2.293592,CS02,1,1,0,NA,NA,72.5889577677444,50,5,12.51533754616283,13.959414955335461,65.20775189754558,0,5,11.24271584440441,12.539952287989534,60.730466045596486,93.2,5,10.470770007861464,11.678935777999325,44.64016594558375,45.760202131481805,42.977814251715934,48.89633877924813,42.36470349292896,41.485421675798634,36.45997094335607,48.608580598428496,NA,1,0,1,0,1,1,1,3,3,3,0,3,18,1.88,5.2,5.8,6,O2,9,AGM/AM,First burst trial not recorded due to blocked sensor,NA,NA,NA,NA
2,6,L,535.5,0,0.076272,0.106482,0.263929,0.305867,0.415916,0.550683,0.605072,0.689046,0.750775,NA,0.922061,1.015933,1.126254,1.264549,1.335826,1.415477,1.509229,1.620315,1.733594,1.831023,1.885321,1.902278,NA,2.019031,CS02,2,"10,23",0,NA,NA,91.93035356413978,20,5,15.850060959334446,17.678914146949957,80.99920620777927,30,5,13.965380380651599,15.576770424572935,74.96551586270319,20,15,12.925088941845377,14.416445358212151,50.704112742747405,49.86015334840895,43.96775379289849,65.44476387469444,44.14733191773254,42.936720134861844,43.93503060590684,43.707754972557716,NA,1,1,0,1,1,10,2,9,5,0,5,4,18,1.88,5.2,5.8,6,O2,9,AGM/AM,First burst trial not recorded due to blocked sensor,NA,NA,NA,NA
2,7,R,573,NA,NA,NA,NA,NA,NA,0,0.089724,0.2249,0.412854,0.506284,0.643058,0.741901,0.876037,1.003668,1.148477,1.298073,1.492705,1.631775,1.844609,2.026692,2.221504,2.283179,2.452572,2.487384,CS02,6,"0,1,2,3,4,5",0,NA,NA,55.72645000222906,20,5,9.608008621073976,10.716625000428664,53.51600128438405,35,5,9.226896773169665,10.291538708535395,50.585271592323174,45,5,8.721598550400547,9.727936844677533,32.768081473137336,40.70710268185256,50.09532815807318,39.63429215896853,24.124696281727378,17.7215052417327,3.814737938556531,39.23372814102195,NA,6,0,6,0,6,0,1,18,18,18,0,5,18,1.88,5.2,5.8,6,O2,9,AGM/AM,First burst trial not recorded due to blocked sensor,NA,NA,NA,NA
2,8,L,626.8,0,0.087387,0.177791,0.31139,0.366968,0.587383,0.678049,0.806165,0.857721,0.945512,1.027609,1.078197,1.142758,1.245038,1.378608,1.466237,1.519509,1.63921,1.798799,1.928573,2.018149,2.110509,2.104742,2.201466,2.240268,CS02,0,NA,0,NA,NA,98.83766901241385,40,5,17.040977415933423,19.007244040848818,96.98192256963314,25,5,16.72102113269537,18.65036972492945,93.85793662712122,65,5,16.18240286674504,18.04960319752331,49.22465028014845,49.06694064089479,33.36743500847482,71.96552256515216,49.01245005686939,48.81326022907183,34.04089836932289,70.06716360417307,NA,0,0,0,0,0,NA,0,0,0,0,0,6,18,1.88,5.2,5.8,6,O2,9,AGM/AM,First burst trial not recorded due to blocked sensor,NA,NA,NA,NA
2,9,R,669.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.921023,4.859931,4.900536,4.821451,CS02,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0,NA,R2B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,18,1.88,5.2,5.8,6,O2,9,AGM/AM,First burst trial not recorded due to blocked sensor,NA,NA,NA,NA
2,10,R,708.6,NA,NA,NA,NA,0,0.083044,0.210328,NA,0.391547,0.528824,0.626056,0.727184,0.846566,0.958189,1.103781,1.249231,1.39782,1.560154,1.750428,1.966688,2.097108,2.30335,2.319191,2.506928,2.567943,CS02,5,"0,1,2,3,7",0,NA,NA,60.209045807042045,10,5,10.380869966731387,11.578662655200393,55.18185179258246,20,10,9.514112378031458,10.611894575496626,51.42339970380122,35,5,8.866103397207107,9.889115327654082,35.246090766628996,47.160751363879974,50.167962651477936,46.5230280903084,26.109269749487723,21.039065469631726,11.888455674364046,36.41968384305587,NA,5,0,5,1,4,0,1,18,18,15,3,7,18,1.88,5.2,5.8,6,O2,9,AGM/AM,First burst trial not recorded due to blocked sensor,NA,NA,NA,NA
