TEMPORARY,BURST_NUMBER,STATUS,ORIENTATION,START_TIME,Gate0,Gate1,Gate2,Gate3,Gate4,Gate5,Gate6,Gate7,Gate8,Gate9,Gate10,Gate11,Gate12,Gate13,Gate14,Gate15,Gate16,Gate17,Gate18,Gate19,Gate20,Gate21,X26,FISH_ID.x,NUM_NA,NA_GATES,NUM_NEGATIVE,NEGATIVE_GATES,PEAK_SPEED,PEAK_SPEED_START,PEAK_SPEED_DIST,PEAK_SPEED_FL,PEAK_SPEED_SL,PEAK_SPEED_2,PEAK_SPEED_2_START,PEAK_SPEED_2_DIST,PEAK_SPEED_2_FL,PEAK_SPEED_2_SL,BURST_COUNT,X25,FISH_ID.2,FISH_ID.y,PIT,TRIAL_TEMP,MASS,TOTAL_BURST_EVENTS,SL,FL,TL,TANK_ID,FAST_DATE,FAST_TIME,BURST_DATE,BURST_START,BURST_END,OBSERVER,COMMENTS
2,1,,L,6.6,0,4.60E-05,3.10341,3.12005,3.166967,3.230022,3.278285,3.321879,3.357656,3.398714,3.47456,3.548031,3.58649,3.630061,3.686467,3.720557,3.742058,3.772029,3.776141,3.790027,3.797158,3.804951,NA,RT02_B_18.18,1,22,0,NA,232.5473234,75,5,10.61859924,11.98697543,198.9732978,84,5,9.085538712,10.25635556,1,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,2,,R,24,0,0.013279,0.026912,0.061018,0.085886,0.14732,0.231066,0.317457,0.384576,0.449815,0.514229,0.656169,0.787106,0.858154,0.93298,0.988492,1.04288,1.100054,1.158758,1.175747,1.186072,1.194072,NA,RT02_B_18.18,1,22,0,NA,241.2739263,4,6,11.01707426,12.43680033,155.245754,35,10,7.088847216,8.002358455,2,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,3,,L,35.9,0,0.007538,0.01781,0.030049,0.074164,0.124631,0.175793,0.227566,0.290782,0.324063,0.407676,0.492803,0.530022,0.575015,0.609791,0.641527,0.686988,0.711991,0.726459,0.74061,0.744805,0.750484,NA,RT02_B_18.18,1,22,0,NA,157.5497857,70,5,7.194054143,8.121122976,157.4902356,80,10,7.191334959,8.118053382,3,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,4,,R,47.9,0,0.01128,0.018079,0.034428,0.052028,0.086372,0.137385,0.191365,0.249555,0.310658,0.367958,0.467236,0.564565,0.611666,0.656624,0.700351,0.748192,0.795039,0.847765,0.865159,0.87449,0.885024,NA,RT02_B_18.18,1,22,0,NA,340.9090909,4,6,15.56662516,17.57263355,235.647589,2,8,10.76016388,12.14678294,4,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,5,,L,259.3,0,0.009749,0.019693,0.038417,0.109926,0.183844,0.257177,0.334376,0.423976,0.5236,0.740546,0.869047,0.926833,0.990902,1.040114,1.111133,1.167775,1.233944,1.249875,1.284152,1.284208,1.319285,NA,RT02_B_18.18,1,22,0,NA,101.6012355,65,5,4.639325821,5.237177086,99.4747732,84,5,4.542227087,5.127565629,5,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,6,,R,277.8,0,5.10E-05,0.030549,0.058066,0.096109,0.135825,0.219836,0.272262,0.333976,0.394068,0.453088,0.541336,0.642382,0.69356,0.74144,0.789196,0.830591,0.883052,0.945946,0.966367,0.974608,0.985905,NA,RT02_B_18.18,1,22,0,NA,169.4340901,35,10,7.736716445,8.733715987,157.7162684,4,6,7.201656093,8.129704558,6,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,7,,L,287.5,0,0.011883,0.028628,0.047934,0.12959,0.220091,0.321179,0.447972,0.6005,0.711828,0.874548,1.020324,1.082185,1.178928,1.237677,1.326199,1.441561,1.545108,1.554841,1.589529,1.617777,1.617911,NA,RT02_B_18.18,1,22,0,NA,85.10783162,65,5,3.886202357,4.38700163,82.41418623,84,6,3.763204851,4.248153929,7,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,8,,R,305.8,0,5.20E-05,8.60E-05,0.089105,0.125744,0.197758,0.256048,0.299922,0.338316,0.380003,0.424783,0.502954,0.575194,0.608016,0.644192,0.68053,0.718748,0.761192,0.813477,0.82972,0.839047,0.84972,NA,RT02_B_18.18,1,22,0,NA,223.3139795,35,10,10.19698536,11.51102987,173.4765864,30,15,7.921305317,8.942092085,8,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,9,,R,332,0,4.90E-05,0.019121,0.042507,0.062191,0.101013,0.154451,0.208731,0.264955,0.304758,0.336784,0.39301,0.448724,0.478543,0.509804,0.543464,0.556984,0.608526,0.65133,0.664926,0.673367,0.679793,NA,RT02_B_18.18,1,22,0,NA,369.8224852,75,5,16.88687147,19.0630147,312.2462999,35,10,14.25782191,16.0951701,9,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,10,,L,344,0,0.799631,0.807257,0.823029,0.865023,0.90648,0.948984,0.994277,1.048162,1.098124,1.201663,1.298115,1.332892,1.376375,1.420144,1.465275,1.515104,1.550353,1.572993,1.595525,1.600602,1.609433,NA,RT02_B_18.18,1,22,0,NA,143.7731834,55,5,6.564985545,7.410988836,142.8775539,4,6,6.524089221,7.364822368,10,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,11,,R,358.9,0,5.00E-05,0.018581,0.04758,12.049837,12.276203,12.406651,12.519401,12.68154,12.798109,12.950471,13.224398,13.525451,13.673075,13.831131,13.977634,14.083532,14.180991,14.317825,14.389425,14.401587,14.4476,NA,RT02_B_18.18,1,22,0,NA,65.63316312,35,10,2.996948088,3.383152738,55.77638874,30,15,2.546867066,2.875071584,11,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,12,,L,401.6,0,0.010216,0.019905,0.040764,0.096038,0.133195,0.162964,0.191024,0.22375,0.259455,0.32708,0.396266,0.428916,0.462392,0.496085,0.532228,0.569557,0.600317,0.615899,0.633381,0.642055,0.653683,NA,RT02_B_18.18,1,22,0,NA,178.1895937,20,5,8.136511129,9.185030605,172.9236196,15,10,7.896055691,8.913588641,12,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,13,,R,417.5,0,5.40E-05,0.022189,0.046027,0.066698,0.111644,0.171106,0.233801,0.296709,0.358402,0.414791,0.515418,0.619943,0.679691,0.736752,0.799543,0.861579,0.936624,1.028232,1.07008,1.07827,1.099891,NA,RT02_B_18.18,1,22,0,NA,290.2617193,4,6,13.25395979,14.96194429,179.7389292,2,8,8.207257041,9.264893258,13,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,14,,L,435.1,0,0.008259,0.02316,0.036151,0.094415,0.155058,0.219502,0.280677,0.280734,0.396192,0.499181,0.5876,0.627742,0.680433,0.725107,0.7759,0.830566,0.878195,0.904579,0.929822,0.929873,0.957818,NA,RT02_B_18.18,1,22,0,NA,87719.29825,25,5,4005.447408,4521.613312,163.3133002,20,10,7.457228321,8.418211352,14,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,15,,R,446.2,0,5.00E-05,0.013286,0.026395,0.040589,0.068444,0.107236,0.143471,0.185435,0.227972,0.275478,0.358678,0.42381,0.457687,0.499011,0.544975,0.574255,0.613399,0.667873,0.687764,0.695379,0.705129,NA,RT02_B_18.18,1,22,0,NA,422.7138227,4,6,19.30200104,21.78937231,293.0080943,2,8,13.37936504,15.10351002,15,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,16,,L,457.8,0,0.010581,0.018652,0.026944,0.071926,0.118355,0.163449,0.205223,0.244711,0.288972,0.383688,0.488554,0.548587,0.613397,0.647502,0.706387,0.772644,0.81526,0.834743,0.861017,0.888539,0.888593,NA,RT02_B_18.18,1,22,0,NA,150.1670609,2,8,6.856943418,7.740570147,146.7112234,1,9,6.699142621,7.562434196,16,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,17,,R,478.3,0,5.30E-05,0.023957,0.049421,0.07939,0.130733,0.197596,0.254912,0.303151,0.34049,0.381891,0.471246,0.55267,0.59155,0.637903,0.70264,0.735961,0.791561,0.856175,0.877712,0.888963,0.896122,NA,RT02_B_18.18,1,22,0,NA,241.5400594,35,10,11.02922646,12.45051853,200.2068804,4,6,9.141866687,10.31994229,17,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,18,,L,504.1,0,0.008172,0.012698,0.025631,0.07665,0.11955,0.166714,0.207842,0.236755,0.288636,0.366554,0.442158,0.496599,0.56696,0.608646,0.699541,0.745897,0.843369,0.857698,0.899513,0.899564,0.927274,NA,RT02_B_18.18,1,22,0,NA,172.9325909,25,5,7.896465337,8.914051076,142.7735184,20,10,6.519338738,7.35945971,18,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,19,,R,515.2,0,5.00E-05,0.022098,0.041854,0.059064,0.092975,0.135991,0.167229,0.199489,0.228513,0.260774,0.332774,0.405013,0.445678,0.487363,0.528884,0.574495,0.621516,0.683799,0.702086,0.713066,0.724945,NA,RT02_B_18.18,1,22,0,NA,348.6345148,4,6,15.91938424,17.97085128,309.9717926,35,10,14.15396313,15.97792745,19,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,20,,L,531.4,0,0.023332,0.068417,0.096504,0.249785,0.425598,0.51618,0.629458,0.722923,0.822918,1.101643,1.418925,1.576286,1.770994,1.982491,2.201158,2.370786,2.504592,2.578853,2.621604,2.665167,2.672817,NA,RT02_B_18.18,1,22,0,NA,55.19860458,15,5,2.520484227,2.845288896,53.49596105,25,5,2.442737948,2.757523766,20,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,21,,R,543.9,0,0.012651,0.030175,0.054285,0.090771,0.140729,0.217208,0.303921,0.37482,0.438141,0.527004,0.68537,0.816995,0.892145,0.969262,1.052714,1.127945,1.210102,1.315256,1.351208,1.370868,1.390359,NA,RT02_B_18.18,1,22,0,NA,164.4466371,4,6,7.508978861,8.476630777,132.0219156,2,8,6.028397974,6.805253383,21,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,22,,L,562.2,0,0.020996,0.060485,0.084622,0.183216,0.286994,0.371541,0.446378,0.446426,0.574008,0.707262,0.827091,0.873945,0.957383,1.02382,1.094592,1.154582,1.225591,1.240428,1.275896,1.275948,1.3133,NA,RT02_B_18.18,1,22,0,NA,104166.6667,25,5,4756.468798,5369.415808,133.5380917,20,10,6.09762976,6.883406791,22,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,23,,R,587.3,0,0.043739,8.467139,8.582587,8.665908,8.817501,8.97501,9.08767,9.193091,9.299069,9.395802,9.565585,9.726087,9.805213,9.898755,10.020105,10.192743,10.420587,10.607446,10.656735,10.709133,10.75893,NA,RT02_B_18.18,1,22,0,NA,103.3773376,35,10,4.720426375,5.328728743,73.99697106,30,15,3.378857126,3.814276859,23,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
2,24,,R,611.5,0,4.90E-05,0.057902,0.122573,0.164123,0.249842,0.298794,0.331563,0.376705,0.405796,0.464997,0.551623,0.631453,0.669267,0.709247,0.741126,0.769461,0.808718,0.851345,0.865937,0.87414,0.882824,NA,RT02_B_18.18,1,22,0,NA,176.4602082,75,5,8.057543754,9.095887022,171.8744629,30,5,7.848148991,8.859508397,24,NA,RT02,RT02_B_18.18,137E,18,113.8,25,19.4,21.9,22.1,1-Jun,2021.05.05,11:10,2021.05.06,N/A,N/A,AGM/JF,NA
