FISH_NUM,AS_TRIAL,Experiment Completed,ACC_TEMP,TEST_TEMP,FAST_DATE,TUNNEL_ID,AS_NUM,RMR,r^2 verfied,M Periods,MOD_RMR,MMR,r^2,MOD_MMR,M Period,MMR_SPEED,CONTROL_MEAN,MASS (g),SL,FL,TL,TANK_ID,RMR_mmHg,RMR_NUM,Vel_fail,Time_fail,MMR_mmHg,RMR Date,MMR Date,MMR_NUM,Controls
CS01_18.18_4.17.21,1,,18,18,4.17.21,1,CS01,369.6574602,>.92,"16,28,30","snip(04,1,250,);snip(30,1,350,)",866.479,0.99,"snip(15,1,,260); snip(16,1,250,); snip(17,1,250,); snip(18,1,250,)",3,22,174.1235,1.13,4.7,5.2,5.5,O2,766.7,35,55,287.42,766.1,4.18.21,4.19.21,15,"16,17,18"
CS02_18.18_4.17.21,1,,18,18,4.17.21,2,CS02,279.5233754,>.98,"19,17,25","snip(04,2,500,)",556.842347,0.93,"snip(08,2,,600);snip(09,2,,500); snip(07,2,600,)",8,34,40.11476,1.85,5.4,5.9,6.4,O2,766.7,35,28,125,766.1,4.18.21,4.19.21,6,"16,17,18"
CS03_18.14_4.18.21,2,ERROR w PUMP; ALL CONTROL,18,14,4.18.21,1,CS03,,,,,,,,,,,,,,,,,,,,,,,,
CS04_18.14_4.18.21,2,,18,14,4.18.21,2,CS04,226.6444611,>.96,"2,8,9",,5.57E+02,0.93,"snip(8,2,,300)",8,34,42.53985,1.84,5.4,6,6.4,O2,766.3,32,34,158.18,761.6,4.19.21,4.20.21,8,"9,10,11"
CS05_18.25_4.19.21,3,,18,25,4.19.21,1,CS05,415.1779913,>.99,"5,3,4",,1181.6999,0.99,,12,46,318.4967,2.29,5,5.6,6,O2,758.3,34,43,206.57,759.9,4.20.21,4.21.21,12,"14,15,16"
CS06_18.25_4.19.21,3,ONE MEASUREMENT PERIOD,18,25,4.19.21,2,CS06,415.1779913,>.98,"3,6,1",,749.5447,0.99,,1,18,247.9863,1.68,4.9,5.4,5.8,O2,758.3,34,18,17.16,759.9,4.20.21,4.21.21,1,"14,15,16"
CS07_18.14_4.20.21,4,,18,14,4.20.21,1,CS07,248.5089746,>.97,"14,20,26",,687.9289,0.99,,9,37,169.9029,2.58,6,6.5,6.9,O2,760,34,37,173.18,761.1,4.21.21,4.22.21,9,"10,11,12"
CS08_18.14_4.20.21,4,,18,14,4.20.21,2,CS08,262.4539771,>.96,"29,22,20",,658.54316,0.98,"snip(2,2,,400)",1,18,121.093,1.55,5,5.5,6,O2,760,34,20,26.02,761.1,4.21.21,4.22.21,2,"10,11,12"
CS09_18.11_4.21.21,5,,18,11,4.21.21,1,CS09,211.6022145,>.94,"33,11,22",,771.56828,0.98,"snip(9,1,,800)",11,43,112.8708,2.72,6,6.6,7,O2,761.2,33,46,228.59,768.1,4.22.21,4.23.21,12,"13,14,15"
CS10_18.11_4.21.21,5,SMALL FISH,18,11,4.21.21,2,CS10,265.5186461,>.89,"26,14,25",,5.92E+02,0.83,"snip(7,2,,800)",7,31,166.2881,0.9,4.1,4.8,5,O2,761.2,33,31,133.31,768.1,4.22.21,4.23.21,7,"13,14,15"
