"","FISH_NUM","TEST_TEMP","AS_NUM","RMR","MMR","CONTROL_MEAN","PIT","MASS","SL","AS.ctrl","FIN.MMR","FIN.RMR","AS"
"1","RT01_18.18_4.28.21",18,"RT_AS_01",109.58,685.580638,-98.86571,"437B",155.9,22.5,576.000638,784.446348,208.44571,576.000638
"2","RT02_18.18_4.28.21",18,"RT_AS_02",86.67,752.4617658,-130.9428,"137E",113.7,18.5,665.7917658,883.4045658,217.6128,665.7917658
"3","RT_03_18.14_4.29.21",14,"RT_AS_03",30.51866,674.3728785,-89.33019,"1979",112.3,19.3,643.8542185,763.7030685,119.84885,643.8542185
"4","RT_04_18.14_4.29.21",14,"RT_AS_04",50.69525,663.5246932,-106.8093,"19C0",125.3,19.8,612.8294432,770.3339932,157.50455,612.8294432
"5","RT_05_18.22_5.1.21",22,"RT_AS_05",148.46,832.5076228,-24.21661,"12AA",115.1,19,684.0476228,856.7242328,172.67661,684.0476228
"6","RT_06_18.22_5.1.21",22,"RT_AS_06",112.2,758.195854,-94.61065,"3.00E+61",151.9,21.2,645.995854,852.806504,206.81065,645.995854
"7","RT_07_18.25_5.2.21",25,"RT_AS_07",150.46,690.5637881,-33.33726,"3A16",135.9,20.5,540.1037881,723.9010481,183.79726,540.1037881
"8","RT_08_18.25_5.2.21",25,"RT_AS_08",194.45,803.8121332,-127.0591,"1092",94.6,18.5,609.3621332,930.8712332,321.5091,609.3621332
"10","RT_10_18.14_5.3.21",14,"RT_AS_10",56.23333,791.2020193,-118.9557,"6432",119,18.7,734.9686893,910.1577193,175.18903,734.9686893
"11","RT_11_18.22_5.4.21",22,"RT_AS_11",131.9294845,931.085051,239.4127,"1086",110.2,19.3,799.1555665,691.672351,-107.4832155,799.1555665
"12","RT_12_18.22_5.4.21",22,"RT_AS_12",120.2109118,852.404384,11.00824,"C055",124.5,20.4,732.1934722,841.396144,109.2026718,732.1934722
"13","RT_13_18.11_5.5.21",11,"RT_AS_13",253.4833,780.52171,-83.05575,"415D ",157.7,22,527.03841,863.57746,336.53905,527.03841
"15","RT_15_18.18_5.6.21",18,"RT_AS_15",59.50087,662.30812,-189.0355,"C0EF",146.9,21.1,602.80725,851.34362,248.53637,602.80725
"16","RT_16_18.18_5.6.21",25,"RT_AS_16",357.92,643.84551,33.61711,"C123",170.9,21.4,285.92551,610.2284,324.30289,285.92551
"17","RT_17_18.25_5.8.21",25,"RT_AS_17",179.5,714.099,-157.0438,"464E",140.2,20.3,534.599,871.1428,336.5438,534.599
"18","RT_18_18.11_5.9.21",11,"RT_AS_18",NA,619.315714,11.09577,"7128",136.6,21,NA,608.219944,NA,NA
"19","RT_19_18.11_5.9.21",11,"RT_AS_19",49.73,529.7751205,-8.432429,"O775",161.1,20.5,480.0451205,538.2075495,58.162429,480.0451205
"23","RT_23_18.14_5.12.21",14,"RT_AS_23",NA,NA,NA,"190E",NA,NA,NA,NA,NA,NA
"24","RT_24_18.14_5.12.21",14,"RT_AS_24",55.65,572.4858046,-209.4828,"166E",109.6,20.1,516.8358046,781.9686046,265.1328,516.8358046
"25","RT_25_18.25_5.13.21",25,"RT_AS_25",NA,NA,NA,"C086",NA,NA,NA,NA,NA,NA
"26","RT_26_18.25_5.13.21",25,"RT_AS_26",174.4528313,791.31435,28.22785,"A27B",101,19.7,616.8615187,763.0865,146.2249813,616.8615187
"27","RT_27_18.18_5.15.21",18,"RT_AS_27",NA,626.18699,19.01166,"175E",140.6,21,NA,607.17533,NA,NA
"28","RT_28_18.18_5.15.21",18,"RT_AS_28",58.992,818.265603,-8.560122,"A285",116.4,20.5,759.273603,826.825725,67.552122,759.273603
"29","RT_29_18.22_5.18.21",22,"RT_AS_29",183.5,954.84732,101.5094,"1996",140,20.8,771.34732,853.33792,81.9906,771.34732
"30","RT_30_18.22_5.16.21",22,"RT_AS_30",92.54,529.362592,6.375995,"740D",177.2,23.4,436.822592,522.986597,86.164005,436.822592
"31","RT_31_18.11_5.17.21",11,"RT_AS_31",15.40413493,459.8983402,-260.0208,"446B",114.3,21.2,444.49420527,719.9191402,275.42493493,444.49420527
"32","RT_32_18.11_5.17.21",11,"RT_AS_32",45.4471,576.0311782,85.56,"6F68",135.8,22,530.5840782,490.4711782,-40.1129,530.5840782
"33","RT_33_18.14_5.22.21",14,"RT_AS_33",25.7,640.75182,-138.6649,"6622",145.1,21.9,615.05182,779.41672,164.3649,615.05182
